Company,Market segment,Department / purpose,Email address(es),Phone / other direct contact,Region,Notes,Confidence,Source label,Source URL,Suggested emails for outreach
Bambu Lab,Consumer / prosumer FDM,Influencer & Media,marketing@bambulab.com,,Global,Official contact page lists Influencer & Media email.,High,Official company page,https://bambulab.com/en/contact-us,marketing@bambulab.com
Bambu Lab,Consumer / prosumer FDM,Talent Recruitment,hr@bambulab.com,,Global,Official contact page lists Talent Recruitment email.,High,Official company page,https://bambulab.com/en/contact-us,marketing@bambulab.com
Bambu Lab,Consumer / prosumer FDM,Customer support,,,Global,Official support page uses contact/live chat and support flow; no direct public phone found in retrieved official sources.,High,Official company page,https://bambulab.com/en/contact-us,marketing@bambulab.com
Bambu Lab,Consumer / prosumer FDM,Corporate sales / business purchases,,,Global,Official contact page points to corporate/business sales and partner forms.,High,Official company page,https://bambulab.com/en/contact-us,marketing@bambulab.com
Bambu Lab,Consumer / prosumer FDM,Partner sales,,,Global,Partner-with-us form for sales/partner inquiries.,High,Official company page,https://bambulab.com/en/partner-with-us,marketing@bambulab.com
Creality,Consumer / prosumer FDM/resin,Pre-sales support / official store,store@creality.com,+01 833 513 5012,US/global store,Official Creality Store contact page.,High,Official company page,https://store.creality.com/pages/contact,brand@creality.com; store@creality.com; cs@creality.com
Creality,Consumer / prosumer FDM/resin,After-sales / customer service,cs@creality.com,+01 833 513 5012,US/global store,Official Creality Store and Help Center list cs@creality.com.,High,Official company page,https://store.creality.com/pages/contact,brand@creality.com; store@creality.com; cs@creality.com
Creality,Consumer / prosumer FDM/resin,Brand inquiries,brand@creality.com,,Global,Listed on Creality after-sales/contact pages.,High,Official company page,https://www.creality.com/pages/contact-us,brand@creality.com; store@creality.com; cs@creality.com
Creality,Consumer / prosumer FDM/resin,UK official store,store.uk@creality.com,+86 755 3396 5666,UK / China HQ,Listed on Creality UK contact page.,High,Official company page,https://www.crealityofficial.co.uk/pages/contact-us,brand@creality.com; store@creality.com; cs@creality.com
Anycubic,Consumer / prosumer FDM/resin,Dealer / distributor inquiries,sales@anycubic.com,,Global,Official contact page lists dealer/distributor inquiries.,High,Official company page,https://store.anycubic.com/pages/contact-us,marketing@anycubic.com; taylorwang@anycubic.com; sales@anycubic.com
Anycubic,Consumer / prosumer FDM/resin,Alliance / business cooperation,business@anycubic.com,,Global,Official contact page lists alliance cooperation consulting.,High,Official company page,https://store.anycubic.com/pages/contact-us,marketing@anycubic.com; taylorwang@anycubic.com; sales@anycubic.com
Anycubic,Consumer / prosumer FDM/resin,Customer support,,,Global,Official page routes customer support through a form/link.,High,Official company page,https://store.anycubic.com/pages/contact-us,marketing@anycubic.com; taylorwang@anycubic.com; sales@anycubic.com
Anycubic,Consumer / prosumer FDM/resin,Marketing / Anycubic Maker program,marketing@anycubic.com,,Global,Listed in official Anycubic Maker terms.,High,Official program terms,https://store.anycubic.com/pages/anycubic-maker-terms,marketing@anycubic.com; taylorwang@anycubic.com; sales@anycubic.com
Anycubic,Consumer / prosumer FDM/resin,Affiliate program,taylorwang@anycubic.com,,Global,Listed on official affiliate program page; named public contact.,High,Official program page,https://store.anycubic.com/pages/affiliate-program,marketing@anycubic.com; taylorwang@anycubic.com; sales@anycubic.com
Prusa Research,Consumer / prosumer FDM/resin,Press / media,press@prusa3d.com,,Global,Official Ask Us Anything / media page.,High,Official company page,https://blog.prusa3d.com/ask-us-anything_4825/,press@prusa3d.com
Prusa Research,Consumer / prosumer FDM/resin,Customer service / complaints / support,info@prusa3d.com,+420 222 263 718,Global / Czech Republic,Official contact page lists email and phone; support also available through 24/7 live chat.,High,Official company page,https://www.prusa3d.com/page/contact_227/,press@prusa3d.com
Prusa Research,Consumer / prosumer FDM/resin,Privacy,privacy@prusa3d.com,,EU/global,Official contact page lists privacy email.,High,Official company page,https://www.prusa3d.com/page/contact_227/,press@prusa3d.com
ELEGOO,Consumer / prosumer resin/FDM,Marketing collaboration / sponsorship / influencer,marketing@elegoo.com,,Global,Official contact page lists Marketing Collaboration email.,High,Official company page,https://www.elegoo.com/pages/contact-us,marketing@elegoo.com; info@elegoo.com
